Gene_Symbol,Uniprot_Acc,Omim ID,Ensemble Gene ID
SCAMP1,O15126,606911,ENSG00000085365
CCAR1,Q8IX12,612569,ENSG00000060339
CCDC69,A6NI79,619288,ENSG00000198624
GPS2,Q13227,601935,ENSG00000132522
UBE2D2,P62837,602962,ENSG00000131508
MTUS2,Q5JR59,619358,ENSG00000132938
PGLS,O95336,604951,ENSG00000130313
CSE1L,P55060,601342,ENSG00000124207
ZNF395,Q9H8N7,609494,ENSG00000186918
BRCA1,P38398,113705,ENSG00000012048
PURA,Q00577,600473,ENSG00000185129
PURB,Q96QR8,608887,ENSG00000146676
PURG,Q9UJV8,618041,ENSG00000172733
GTF2H3,Q13889,601750,ENSG00000111358
FEM1B,Q9UK73,613539,ENSG00000169018
CD248,Q9HCU0,606064,ENSG00000174807
KIF20A,O95235,605664,ENSG00000112984
PLA2G12B,Q9BX93,611653,ENSG00000138308
DIP2B,Q9P265,611379,ENSG00000066084
DIP2A,Q14689,607711,ENSG00000160305
DIP2C,Q9Y2E4,611380,ENSG00000151240
ASPM,Q8IZT6,605481,ENSG00000066279
HDLBP,Q00341,142695,ENSG00000115677
ANKRD30A,Q9BXX3,610856,ENSG00000148513
PTX3,P26022,602492,ENSG00000163661
NEK7,Q8TDX7,606848,ENSG00000151414
NEK6,Q9HC98-2,604884,ENSG00000119408
LCP1,P13796,153430,ENSG00000136167
PLS3,P13797,300131,ENSG00000102024
PLS1,Q14651,602734,ENSG00000120756
TANK,Q92844,603893,ENSG00000136560
CEP152,O94986,613529,ENSG00000103995
PRR14,Q9BWN1,617423,ENSG00000156858
TENM2,Q9NT68,610119,ENSG00000145934
TENM3,Q9P273,610083,ENSG00000218336
TENM4,Q6N022,610084,ENSG00000149256
TENM1,Q9UKZ4-2,300588,ENSG00000009694
AGK,Q53H12,610345,ENSG00000006530
WDR37,Q9Y2I8,618586,ENSG00000047056
UBE3A,Q05086-3,601623,ENSG00000114062
DAGLB,Q8NCG7,614016,ENSG00000164535
ZC3H7B,Q9UGR2-2,618206,ENSG00000100403
RNF169,Q8NCN4,618650,ENSG00000166439
CDH7,Q9ULB5,605806,ENSG00000081138
CDH24,Q86UP0,618599,ENSG00000139880
CDH12,P55289,600562,ENSG00000154162
CDH11,P55287,600023,ENSG00000140937
CDH6,P55285,603007,ENSG00000113361
CDH10,Q9Y6N8,604555,ENSG00000040731
CDH8,P55286,603008,ENSG00000150394
TPM3,P06753,191030,ENSG00000143549
TPM3,P06753-4,191030,ENSG00000143549
TPM3,Q5VU59,191030,ENSG00000143549
TPM1,P09493-8,191010,ENSG00000140416
TPM1,P09493-10,191010,ENSG00000140416
TPM1,Q6ZN40,191010,ENSG00000140416
TPM1,H0YK48,191010,ENSG00000140416
TPM2,P07951,190990,ENSG00000198467
TPM2,P07951-2,190990,ENSG00000198467
TPM4,P67936-2,600317,ENSG00000167460
TPM4,P67936,600317,ENSG00000167460
TMEM231,Q9H6L2-2,614949,ENSG00000205084
PACSIN2,Q9UNF0,604960,ENSG00000100266
PACSIN2,Q9UNF0-2,604960,ENSG00000100266
PACSIN1,Q9BY11,606512,ENSG00000124507
SNX2,O60749,605929,ENSG00000205302
SNX1,Q13596,601272,ENSG00000028528
IDI1,Q13907-2,604055,ENSG00000067064
RBBP6,Q7Z6E9,600938,ENSG00000122257
GRHPR,Q9UBQ7,604296,ENSG00000137106
GPD2,P43304,138430,ENSG00000115159
CSNK1D,P48730,600864,ENSG00000141551
CSNK1A1,Q71TU5,600505,ENSG00000113712
CSNK1A1,P48729-2,600505,ENSG00000113712
CSNK1E,P49674,600863,ENSG00000213923
IFI44L,Q53G44,613975,ENSG00000137959
BPTF,Q12830,601819,ENSG00000171634
BPTF,E9PE19,601819,ENSG00000171634
DIAPH3,Q9NSV4,614567,ENSG00000139734
TTR,P02766,176300,ENSG00000118271
CLCA4,Q14CN2,616857,ENSG00000016602
CLCA1,A8K7I4,603906,ENSG00000016490
SETX,Q7Z333,608465,ENSG00000107290
PIK3C2A,O00443,603601,ENSG00000011405
ARHGEF7,Q14155-5,605477,ENSG00000102606
ARHGEF6,Q15052,300267,ENSG00000129675
MAGI3,Q5TCQ9-4,615943,ENSG00000081026
MAGI2,Q86UL8,606382,ENSG00000187391
MAGI1,Q96QZ7-2,602625,ENSG00000151276
ARID4A,P29374,180201,ENSG00000032219
ARID4B,Q4LE39,609696,ENSG00000054267
LIN28A,Q9H9Z2,611043,ENSG00000131914
LIN28B,Q6ZN17,611044,ENSG00000187772
CDKN2D,P55273,600927,ENSG00000129355
CBX4,O00257,603079,ENSG00000141582
LIG3,P49916,600940,ENSG00000005156
NCKAP5,O14513,608789,ENSG00000176771
CDC73,Q6P1J9,607393,ENSG00000134371
ZNF462,Q96JM2-3,617371,ENSG00000148143
DNAJC6,O75061-2,608375,ENSG00000116675
DUSP3,P51452,600183,ENSG00000108861
MYPN,Q86TC9,608517,ENSG00000138347
PALLD,Q8WX93,608092,ENSG00000129116
VDAC3,Q9Y277,610029,ENSG00000078668
VDAC1,P21796,604492,ENSG00000213585
GPHN,Q9NQX3-2,603930,ENSG00000171723
EMG1,Q92979,611531,ENSG00000126749
SPEN,Q96T58,613484,ENSG00000065526
PRPF3,O43395,607301,ENSG00000117360
EBF3,Q9H4W6,607407,ENSG00000108001
EBF1,E5RFQ1,164343,ENSG00000164330
EBF4,Q9BQW3-1,609935,ENSG00000088881
ASMTL,O95671,300162,ENSG00000169093
ASMTL,O95671,400011,ENSG00000169093
PHF8,Q9UPP1,300560,ENSG00000172943
KDM2A,Q9Y2K7,605657,ENSG00000173120
PHF2,O75151,604351,ENSG00000197724
KDM2B,Q8NHM5,609078,ENSG00000089094
B3GNT2,Q9NY97,605581,ENSG00000170340
F5,P12259,612309,ENSG00000198734
ATP2C1,P98194-7,604384,ENSG00000017260
TP53BP1,Q12888,605230,ENSG00000067369
S100A16,Q96FQ6,617437,ENSG00000188643
QRSL1,Q9H0R6,617209,ENSG00000130348
MCTP2,Q6DN12-2,616297,ENSG00000140563
MCTP1,Q6DN14-3,616296,ENSG00000175471
BOD1L1,Q8NFC6,616746,ENSG00000038219
LIMCH1,Q9UPQ0-4,617750,ENSG00000064042
LIMCH1,Q9UPQ0-3,617750,ENSG00000064042
